sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
assembly	plasmid	AA274	AI068	contig_1	9539	0.5742740329174966	ae1a4dbe3c983379f37646e612a26794	not tested	-	-	-	-	-	-	MOBF	NZ_CP016035	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
assembly	plasmid	AA274	AI068	contig_10	41153	0.5354895147376862	efffbf16e96d68984db718e43b54177c	not tested	IncR	000204__CP008701_00115	-	-	-	-	MOBF	NZ_CP016035	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
assembly	plasmid	AD548	AN140	contig_11	18370	0.5120304844855743	5f4e465cfbbd07d3402dd9e01c5e19ee	not tested	-	-	-	-	-	-	-	-	-	CP025042	0.0188053	Klebsiella pneumoniae	-	-	-
assembly	plasmid	AA274	AI068	contig_12	80507	0.5418038183015141	7f2497e79f30312738c8938932e7ca3b	not tested	IncFII	000129__CP018340	MOBF	CP024544_00079	MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_T,MPF_T	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
assembly	plasmid	AB536	AK360	contig_14	44731	0.3467170418725269	46b800f025eb057aab87a381e3ae88e3	not tested	-	-	-	-	-	-	-	-	-	CP019901	0.0230043	Raoultella planticola	-	-	-
assembly	plasmid	AA372	AI348	contig_15	79490	0.4561957478928167	6725decccc8dccb2c148519eb4cef551	not tested	IncI2	KC845573	MOBP	NC_022520_00030	MPF_T,MPF_T,MPF_T,MPF_T,MPF_T	NC_019115_00018,NC_020270_00063,NC_019039_00052,NC_019039_00051,NC_020270_00058	-	-	-	CP021861	4.76906e-05	Klebsiella pneumoniae	-	-	-
assembly	chromosome	-	-	contig_18	1349	0.38472942920681985	274caa6815f7c7ee6eacb920cb125c51	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
assembly	chromosome	-	-	contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
assembly	plasmid	AA274	AI068	contig_5	214836	0.5275605578208494	d6f54ef42fa5dc1baa85080e623ac981	not tested	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000132__HG969996,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_F,MPF_T,MPF_T	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021654_00004,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
assembly	chromosome	-	-	contig_6	41786	0.5167759536686929	0738d708ad71c3443b4a7337966ca7f5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
assembly	plasmid	AA274	AI068	contig_7	42424	0.5534367339241939	73d04a399b6dd8f3b2c2eba084cc06b1	not tested	IncFII,IncR	000129__CP018340,000204__CP008701_00115	MOBF	CP024544_00079	MPF_T	NC_021502_00150	MOBF	NZ_CP016035	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
assembly	plasmid	AA274	AI068	contig_9	16075	0.5211819595645412	ee9c0234c50c230dc5c9651bbdf9eb03	not tested	rep_cluster_1418	000759__NC_013950_00034	-	-	-	-	-	-	-	CP039975	0.0101459	Klebsiella pneumoniae	-	-	-
