sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	349864	351308						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	736030	737225						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00955	MF344566	ISPan1	IS5	1057	1	1057	894663	895719						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	993724	994919						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	1219797	1220992						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01207	KP017243	ISSbo1	IS91	1713	1	1353	1290986	1292338						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	1432198	1433393						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00955	MF344566	ISPan1	IS5	1057	1	1057	1440706	1441762						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	1684193	1685637						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	1699640	1700835						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2219503	2221870						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2222750	2224301						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	2608411	2609606						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3066419	3068786						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3069521	3071072						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	3302107	3303551						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01207	KP017243	ISSbo1	IS91	1713	1	1353	3382451	3383803						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3575625	3577176						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3578056	3580423						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3680072	3681623						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3682587	3684954						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00918	LT898486	ISKpn26	IS5	1197	1	1196	3701396	3702591						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3772052	3773603						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3774567	3776934						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3817179	3818730						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3819610	3821977						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	3951502	3952946						
assembly	chromosome			contig_4	5306074	0.5746033696476905	6457651a545293adfff036af2c776956	00610	AP006725	ISKpn1	IS3	1445	1	1445	3964310	3965754						
