#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_4	5305428	72	Y	N	1	none	*	4
contig_5	214771	112	Y	N	1	none	*	5
contig_7	42381	14	N	N	1	none	*	7,-13,-16,13,12
contig_10	41141	87	Y	N	1	none	*	10
contig_15	79483	121	Y	N	1	none	*	15
contig_1	9540	100	N	Y	1	none	*	1
contig_2	2182	0	N	Y	1	both	2	2
contig_3	2182	0	N	Y	1	both	2	3
contig_6	41422	881	N	Y	11	none	*	6
contig_8	7495	6	N	Y	1	none	*	8
contig_9	16076	186	N	Y	2	none	*	9
contig_11	18370	184	N	Y	2	none	*	11
contig_12	80500	178	N	Y	2	none	*	12
contig_14	45959	70	N	Y	1	none	*	14
contig_17	1197	252	Y	Y	3	none	*	17
contig_18	1344	0	N	Y	1	none	*	18
contig_19	20133	1	N	Y	1	left	*	19
