qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NZ_CP016035|MOBF	contig_1	268	9539	11	268	3454	3712	267	33	81.273	96.0	96.0	minus	6.15e-52	200	oriT
NZ_CP016035|MOBF	contig_10	268	41153	11	268	3451	3709	267	33	81.273	96.0	96.0	minus	6.15e-52	200	oriT
NZ_CP016035|MOBF	contig_7	268	42424	11	268	3451	3709	267	33	81.273	96.0	96.0	minus	6.15e-52	200	oriT
000204__CP008701_00115|IncR	contig_10	894	41153	1	894	14392	15287	896	3	99.442	100.0	100.0	minus	0.0	1626	replicon
000129__CP018340|IncFII	contig_12	235	80507	1	235	3705	3939	236	25	88.559	100.0	100.0	plus	1.43e-77	285	replicon
KC845573|IncI2	contig_15	1017	79490	1	1017	71113	72129	1017	0	100.0	100.0	100.0	minus	0.0	1879	replicon
CP017721_00179|rep_cluster_2183	contig_5	864	214836	37	864	139900	140727	830	146	81.928	96.0	96.0	minus	0.0	699	replicon
000132__HG969996|IncFII	contig_5	235	214836	1	235	140762	140996	235	1	99.574	100.0	100.0	plus	6.25e-121	429	replicon
000107__CP014778_00094|IncFIB	contig_5	1011	214836	1	1011	209953	210963	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
000204__CP008701_00115|IncR	contig_7	894	42424	1	894	14392	15287	896	3	99.442	100.0	100.0	minus	0.0	1626	replicon
000129__CP018340|IncFII	contig_7	235	42424	1	235	29120	29354	236	25	88.559	100.0	100.0	plus	1.43e-77	285	replicon
000759__NC_013950_00034|rep_cluster_1418	contig_9	876	16075	1	876	909	1784	876	6	99.315	100.0	100.0	plus	0.0	1585	replicon
CP024544_00079|MOBF	contig_12	1753	80507	1	1753	9191	14449	1753	41	97.661	100.0	100.0	minus	0.0	3348	relaxase
NC_022520_00030|MOBP	contig_15	1413	79490	1	1413	49996	54234	1413	0	100.0	100.0	100.0	minus	0.0	2805	relaxase
NC_021231_00058|MOBF	contig_5	1753	214836	1	1753	148110	153368	1753	32	98.175	100.0	100.0	minus	0.0	3370	relaxase
CP035180_00077|MOBF	contig_5	687	214836	1	251	153380	154132	251	6	97.61	37.0	98.0	minus	0.0	402	relaxase
CP024544_00079|MOBF	contig_7	1753	42424	1	1753	34606	39864	1753	41	97.661	100.0	100.0	minus	0.0	3348	relaxase
NC_021502_00150|MPF_T	contig_12	770	80507	1	770	14452	16749	771	69	90.272	100.0	100.0	minus	0.0	1309	mate-pair-formation
NC_019155_00032|MPF_F	contig_12	959	80507	2	948	17525	20389	957	166	81.4	99.0	99.0	minus	0.0	1523	mate-pair-formation
NC_019165_00034|MPF_F	contig_12	456	80507	5	456	20401	21756	452	39	91.372	99.0	99.0	minus	0.0	769	mate-pair-formation
NC_021654_00016|MPF_F	contig_12	668	80507	15	668	24196	26157	654	39	94.037	98.0	98.0	minus	0.0	1187	mate-pair-formation
NC_019389_00080|MPF_F	contig_12	212	80507	1	212	26210	26845	212	4	98.113	100.0	100.0	minus	7.59e-140	429	mate-pair-formation
NC_022609_00081|MPF_F	contig_12	330	80507	1	330	26861	27850	330	1	99.697	100.0	100.0	minus	0.0	685	mate-pair-formation
NC_014312_00128|MPF_F	contig_12	211	80507	1	206	27870	28487	206	3	98.544	98.0	98.0	minus	1.52e-123	382	mate-pair-formation
NC_021502_00131|MPF_T	contig_12	879	80507	1	879	28879	31515	879	20	97.725	100.0	100.0	minus	0.0	1776	mate-pair-formation
NC_023332_00154|MPF_F	contig_12	474	80507	1	474	35281	36699	474	51	89.03	100.0	100.0	minus	0.0	732	mate-pair-formation
NC_014312_00118|MPF_F	contig_12	246	80507	1	246	36702	37439	246	20	91.87	100.0	100.0	minus	5.39e-150	460	mate-pair-formation
NC_014312_00116|MPF_F	contig_12	101	80507	1	101	38015	38317	101	4	96.04	100.0	100.0	minus	1.33e-62	202	mate-pair-formation
NC_019115_00018|MPF_T	contig_15	328	79490	1	328	16080	17063	328	4	98.78	100.0	100.0	plus	0.0	581	mate-pair-formation
NC_020270_00063|MPF_T	contig_15	785	79490	1	785	23572	25926	785	0	100.0	100.0	100.0	plus	0.0	1569	mate-pair-formation
NC_019039_00052|MPF_T	contig_15	244	79490	1	244	26093	26824	244	1	99.59	100.0	100.0	plus	3.68e-150	460	mate-pair-formation
NC_019039_00051|MPF_T	contig_15	256	79490	1	256	26824	27591	256	2	99.219	100.0	100.0	plus	9.76e-175	531	mate-pair-formation
NC_020270_00058|MPF_T	contig_15	652	79490	1	652	29813	31768	652	0	100.0	100.0	100.0	plus	0.0	1234	mate-pair-formation
NC_021502_00150|MPF_T	contig_5	770	214836	1	770	153371	155677	770	16	97.792	100.0	100.0	minus	0.0	1432	mate-pair-formation
